date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
09212021-00:48:03;7.000000000;6.999997583;6.999997982;0.000000000;0.000000000;1.63655e-07;1.69038e-07;0;0;37.0;37.4
09212021-00:48:25;7.100000000;7.099996931;7.099997767;0.000000000;0.000000000;2.01273e-07;1.37952e-07;0;0;37.0;37.4
09212021-00:48:47;7.200000000;7.199997650;7.199998256;0.000000000;0.000000000;1.3256e-07;7.80555e-08;0;0;37.0;37.4
09212021-00:49:09;7.300000000;7.299997396;7.299997938;0.000000000;0.000000000;1.46379e-07;1.69331e-07;0;0;37.0;37.4
09212021-00:49:31;7.400000000;7.399997378;7.399998134;0.000000000;0.000000000;9.18489e-08;9.3774e-08;0;0;37.0;37.4
09212021-00:49:53;7.500000000;7.499996904;7.499997860;0.000000000;0.000000000;2.50377e-08;6.88251e-08;0;0;37.0;37.4
09212021-00:50:14;7.600000000;7.599997313;7.599998496;0.000000000;0.000000000;2.19468e-07;5.24489e-08;0;0;37.0;37.4
09212021-00:50:36;7.700000000;7.699997148;7.699997783;0.000000000;0.000000000;1.3648e-07;4.32538e-08;0;0;37.0;37.4
09212021-00:50:57;7.800000000;7.799996835;7.799997905;0.000000000;0.000000000;8.69265e-08;4.97483e-08;0;0;37.0;37.4
09212021-00:51:19;7.900000000;7.899997053;7.899997896;0.000000000;0.000000000;4.21979e-08;1.67531e-07;0;0;37.0;37.4
09212021-00:51:41;8.000000000;7.999997492;7.999998194;0.000000000;0.000000000;1.1681e-07;6.34192e-08;0;0;37.0;37.4
09212021-00:52:02;8.100000000;8.099997106;8.099998082;0.000000000;0.000000000;2.40003e-07;7.07107e-09;0;0;37.0;37.4
09212021-00:52:24;8.200000000;8.199996955;8.199997750;0.000000000;0.000000000;1.68198e-07;1.41421e-08;0;0;37.0;37.4
