time,3458B_volt
1721676152.9778101,-1.114193865e-05
1721676161.0182612,-1.127388266e-05
1721676169.0589018,-1.127388266e-05
1721676177.0994182,-1.139116622e-05
1721676185.1399746,-1.122990132e-05
1721676193.18034,-1.130320355e-05
1721676201.2211418,-1.115659909e-05
1721676209.2615857,-1.115659909e-05
1721676217.302342,-1.12885431e-05
1721676225.3429139,-1.125922221e-05
1721676233.3835237,-1.124456176e-05
1721676241.4236507,-1.120058043e-05
1721676249.4640858,-1.121524087e-05
1721676257.5043602,-1.121524087e-05
1721676265.5447981,-1.125922221e-05
1721676273.5855334,-1.12885431e-05
1721676281.6258504,-1.122990132e-05
1721676289.6662712,-1.142048711e-05
1721676297.7065701,-1.142048711e-05
1721676305.7472105,-1.134718488e-05
1721676313.7874746,-1.130320355e-05
1721676321.8279915,-1.139116622e-05
1721676329.868544,-1.137650577e-05
1721676337.9089298,-1.130320355e-05
1721676345.9496582,-1.12885431e-05
1721676353.989879,-1.130320355e-05
1721676362.0304854,-1.136184533e-05
1721676370.0711572,-1.149378934e-05
1721676378.1115716,-1.136184533e-05
1721676386.1520708,-1.139116622e-05
1721676394.1926267,-1.125922221e-05
1721676402.2331028,-1.139116622e-05
1721676410.2736447,-1.122990132e-05
1721676418.314186,-1.149378934e-05
1721676426.3544965,-1.131786399e-05
1721676434.3949656,-1.146446845e-05
1721676442.4355843,-1.124456176e-05
1721676450.4761505,-1.136184533e-05
1721676458.5167494,-1.12885431e-05
1721676466.557458,-1.136184533e-05
1721676474.5978754,-1.140582667e-05
1721676482.6383638,-1.131786399e-05
1721676490.6791143,-1.147912889e-05
1721676498.71966,-1.127388266e-05
1721676506.760302,-1.124456176e-05
1721676514.8007557,-1.152311023e-05
1721676522.8415148,-1.139116622e-05
1721676530.8821673,-1.133252444e-05
1721676538.9228055,-1.134718488e-05
1721676546.9632857,-1.139116622e-05
1721676555.0038285,-1.137650577e-05
1721676563.044376,-1.143514756e-05
1721676571.0847912,-1.137650577e-05
1721676579.1252086,-1.137650577e-05
1721676587.1657462,-1.142048711e-05
1721676595.205947,-1.1449808e-05
1721676603.2466347,-1.139116622e-05
1721676611.2871776,-1.134718488e-05
1721676619.3277647,-1.140582667e-05
1721676627.3682122,-1.140582667e-05
1721676635.408692,-1.133252444e-05
1721676643.44936,-1.137650577e-05
1721676651.490056,-1.136184533e-05
1721676659.5307403,-1.133252444e-05
1721676667.5714028,-1.136184533e-05
