vref,hpm1_counts,hpm2_counts
-7.0,1112407449.8195,1111371874.2172
-7.0,1112407503.9387,1111371909.6473
-7.0,1112407483.8581,1111371884.4966
-7.0,1112407534.7632,1111371904.51
-7.0,1112407483.7984,1111371956.5664
-6.5,1186338913.9623,1185376022.7448
-6.5,1186338905.0561,1185375975.9999
-6.5,1186338915.9771,1185375973.343
-6.5,1186338962.2916,1185376012.0395
-6.5,1186338891.2864,1185376026.1454
-6.5,1186338982.6383,1185376029.9776
-6.5,1186338874.2598,1185375992.8941
-6.5,1186338896.0009,1185375989.315
-6.5,1186338900.8654,1185376020.356
-6.5,1186338928.6401,1185375951.9796
-6.5,1186338960.9147,1185376052.4075
-6.5,1186338900.8596,1185375986.9403
-6.5,1186338909.4674,1185375959.2049
-6.5,1186338920.901,1185376007.056
-6.5,1186338938.9402,1185376030.6168
-6.5,1186338918.5749,1185376002.8486
-6.5,1186338954.4535,1185376035.0556
