time,W4950_volt
1693578688.9342852,-1e-06
1693578707.2541249,-1e-06
1693578725.5746176,-0.0
1693578743.8951313,-1e-06
1693578762.2157624,-0.0
1693578780.5369248,-0.0
1693578798.857733,-0.0
1693578817.1779637,-0.0
1693578835.4979491,-0.0
1693578853.8179038,0.0
1693578872.1374009,-0.0
1693578890.4624794,0.0
1693578908.7825916,-0.0
1693578927.1035738,-0.0
1693578945.424298,-0.0
1693578963.744977,0.0
1693578982.0701115,0.0
1693579000.390901,-0.0
1693579018.7107098,0.0
1693579037.0306518,-0.0
1693579055.350524,0.0
1693579073.6701605,-0.0
1693579091.9903061,-0.0
1693579110.3102264,0.0
1693579128.630852,-0.0
1693579146.951421,-0.0
1693579165.272134,0.0
1693579183.5930843,-0.0
1693579201.9138854,-0.0
1693579220.2339656,-0.0
1693579238.5547845,0.0
1693579256.875356,-0.0
1693579275.1956987,0.0
1693579293.516916,0.0
1693579311.8375638,-0.0
1693579330.1579037,0.0
1693579348.4782987,0.0
1693579366.7985754,-0.0
1693579385.1194627,-0.0
1693579403.4404118,-0.0
1693579421.761517,-0.0
1693579440.0823054,-0.0
1693579458.402297,0.0
1693579476.722319,-0.0
1693579495.0432622,-0.0
1693579513.3634145,0.0
1693579531.6841812,-0.0
1693579550.0050888,-0.0
1693579568.3251772,-0.0
1693579586.6459215,-0.0
1693579604.9663384,-0.0
1693579623.2872455,-0.0
1693579641.608227,-0.0
1693579659.9288843,-0.0
1693579678.2541926,0.0
1693579696.57517,-0.0
1693579714.8960145,0.0
1693579733.2187288,-0.0
1693579751.5392673,-0.0
1693579769.8600895,0.0
1693579788.18115,0.0
1693579806.502082,0.0
1693579824.8231761,-0.0
1693579843.1451013,0.0
1693579861.4664319,0.0
1693579879.7932673,0.0
1693579898.1141853,-0.0
1693579916.435031,-0.0
1693579934.7549627,-0.0
1693579953.0750818,-0.0
1693579971.3950732,-0.0
1693579989.715461,-0.0
1693580008.0362213,0.0
1693580026.3571312,0.0
1693580044.6769145,0.0
1693580062.9972553,0.0
1693580081.3182213,0.0
1693580099.6393683,-0.0
1693580117.9603431,0.0
1693580136.281385,0.0
1693580154.602321,0.0
1693580172.9234636,0.0
1693580191.24463,0.0
1693580209.56536,-0.0
1693580227.8861618,-0.0
1693580246.2063868,-0.0
1693580264.5272124,-0.0
1693580282.8477726,-0.0
1693580301.1683578,-0.0
